RANK|ID|NAME|GEN|AGE|ENERGY|VIT|STR|AGI|INT|WIS|LUK|ACTION|ALIGN
1|ALICE_59|Erebus Devourer|147.71829339448388|2898919.7915835264|19|38|40|16|16|16|Hunting|53|1
2|ALICE_106|Aeropex: Stormsurge|350.46058818740374|2898919.7915835264|19|22|63|22|19|27|Meditating|70|1
3|ALICE_129|Khrognok, Devourer of Reflections|11558.58348068098|2898919.7915835264|15|53|20|19|19|43|Resting|-44|1
4|ALICE_29|Abaddonus Crawler|35061.41778028177|2898004.6918274793|16|22|23|15|24|24|Hunting|-219|1
5|ALICE_245|Aeropex Oblivion|261.13879170276186|2888487.654364589|21|19|64|15|24|25|Wandering|-27|1
6|ALICE_184|Aetherspire|218.90603303329664|2872528.3146191253|17|24|22|25|16|20|Meditating|-125|1
7|ALICE_45|Crepuscular Devourer|101.46887710696711|2863047.881146479|25|33|40|25|16|24|Stalking prey|-3|1
8|33ba3358|Unknown|5136.659431287815|2860662.4803043026|16|22|19|16|19|19|Diplomacy|13|1
9|ALICE_74|Luminari Devourer|13026.643350801598|2848613.7076610923|23|39|37|23|22|16|Meditating|92|1
10|ALICE_213|Abyssal Oracle|13323.362059119303|2846905.5214498034|23|46|24|25|21|44|Foraging|11|1
11|ALICE_115|Carcass Emperor|121.30767567246053|2846002.623023837|17|19|16|21|23|24|Stalking prey|-82|1
12|ALICE_201|Erebus Devourer|11632.61080894184|2845795.200412466|16|37|41|24|20|21|Foraging|-111|1
13|ALICE_249|Scarabix Devoratrix|62.00084829347536|2843379.337056502|18|20|19|17|18|24|Hunting|-29|1
14|ALICE_188|Echoflux, Devourer of the Sirens|13604.417053344576|2843055.343706905|23|55|23|15|24|35|Hunting|1|1
15|ALICE_263|Cocciphalix, Devourer of Arcana|137.47719817028002|2843043.8004792845|21|23|19|23|21|22|Stalking prey|-4|1
16|ALICE_266|Aeris, Abyssal Echo|147.52074437433473|2842626.7938288813|15|18|18|40|47|22|Hunting|1|1
17|ALICE_31|Crepuscular Requiem|163.42714448717985|2842541.7938288813|25|20|15|20|23|23|Meditating|1|1
18|ALICE_19|Aether Scourge|127.9301204750217|2842439.7938288813|25|51|22|23|24|45|Foraging|1|1
19|ALICE_164|Cacophony|10232.323568375585|2842439.7938288813|15|30|39|16|24|20|Hunting|1|1
20|ALICE_210|Aeropex, Devourer of Elysium|73.3742739164871|2842439.7938288813|17|15|20|45|47|22|Stalking prey|1|1
21|ALICE_53|Echoflux, Devourer of Sanity|8733.789553095581|2842141.243950858|18|47|22|21|15|37|Foraging|1|1
22|ALICE_171|Luxcanine, Devourer of Souls|59.60172883057843|2842057.243950858|25|16|17|18|23|25|Hunting|1|1
23|ALICE_120|Abaddonix|142.06428095142908|2841195.298972071|21|52|25|22|23|40|Hunting|-70|1
24|ALICE_101|Erebus Devourer|56460.82061229247|2840469.3198322733|68|19|21|24|54|15|Hunting|133|1
25|ALICE_127|Echoflux Devourer|209.826343116351|2837571.5039381236|25|15|25|15|16|16|Hunting|20|1
26|ALICE_261|Echokeeper of Arcane Depths|8097.266997627689|2836046.337678045|65|19|17|20|48|25|Diplomacy|-23|1
27|GEN2_fbe5ec|Genesis-2 FBE5|57563.041600250166|2832727.535084704|71|18|20|24|49|24|Foraging|-293|2
28|ALICE_69|Elysian Screamstress|155.26967185173444|2825522.690483503|21|37|45|25|19|22|Stalking prey|53|1
29|ALICE_124|Ophidian Matriarch of Ephemeral Luminance|109.59627602311497|2820062.595272422|19|16|22|20|23|22|Stalking prey|97|1
30|ALICE_33|Aethonix, Umbra Forger|201.82455139509082|2816402.1962482333|24|32|40|21|18|17|Hunting|62|1
31|ALICE_76|Cacophorix|148.32727876743357|2786407.1787831923|20|50|23|24|15|37|Stalking prey|1|1
32|ALICE_91|Cacophon Luxe|145.9944090238203|2786344.1787831923|25|38|40|15|18|18|Foraging|1|1
33|ALICE_209|Cataclysmal Stalker|110.80045718102105|2786344.1787831923|22|40|37|15|19|20|Stalking prey|1|1
34|ALICE_211|Stormbringer of the Sullen Skies|369.2761607053306|2786344.1787831923|25|15|62|19|21|26|Wandering|1|1
35|ALICE_218|Aeropex Umbra|21344.463754570377|2786344.1787831923|22|20|58|18|16|31|Recruiting|1|1
36|ALICE_234|Crimson Devourer|118.6376849898183|2786344.1787831923|20|24|24|20|17|24|Foraging|1|1
37|ALICE_260|Caelestis Maledicta|133.39538124274299|2786344.1787831923|21|22|59|16|17|28|Hunting|1|1
38|ALICE_156|Covenant of the Eternal Abyss|186.41554265896954|2785973.6289051687|25|25|17|18|16|21|Hunting|1|1
39|ALICE_243|Aethergruk, Keeper of the Abyssal Pool|63.49195644246962|2785968.6289051687|25|55|28|19|24|38|Foraging|1|1
40|ALICE_122|Erebus Devourer|86.26025479079334|2785936.6289051687|17|46|27|16|18|44|Foraging|1|1
41|ALICE_0|Khronox the Unseen|105.5578960988443|2785901.6289051687|23|19|22|24|18|18|Hunting|-285|1
42|ALICE_93|Cacophonix Devourer|100.9857345878896|2785899.6289051687|19|46|28|20|21|39|Hunting|1|1
43|ALICE_9|Erebus Devourer|122.04459126116895|2785891.6289051687|16|48|30|16|24|41|Stalking prey|1|1
44|ALICE_7|Aetherius Dominus|1201.3571687589174|2785886.6289051687|25|18|65|15|21|31|Meditating|1|1
45|ALICE_18|Khaosaurax|171.00636690053963|2785886.6289051687|25|51|24|21|24|42|Foraging|1|1
46|ALICE_42|Caelestis Wraith|109.97635823017218|2785886.6289051687|19|18|58|16|21|26|Foraging|1|1
47|ALICE_44|Crepuscular Abyssal|77.0031703906428|2785886.6289051687|25|19|18|23|19|24|Foraging|1|1
48|ALICE_55|Aeropex Caelum|227.99828798236325|2785886.6289051687|15|25|61|25|22|26|Hunting|1|1
49|ALICE_57|Crawler of the Eternal Pool|85.57267214963572|2785886.6289051687|22|19|22|18|25|24|Hunting|1|1
50|ALICE_61|Abyssal Scarab|116.73215149687135|2785886.6289051687|22|22|23|17|15|19|Foraging|1|1
