timestamp,agent_count,zhtp_alive,fleet_health_pct
1775908491,1449,1,99.9
1775908793,1449,1,99.9
1775909094,1449,1,99.9
1775909395,1449,1,99.9
1775909700,1449,1,99.9
1775910001,1449,1,99.9
1775910303,1449,1,99.9
1775910605,1449,1,99.9
1775910906,1449,1,99.9
1775911207,1449,1,99.9
1775911508,1449,1,99.9
1775911809,1449,1,99.9
1775912111,1449,1,99.9
1775912412,1449,1,99.9
1775912713,1449,1,99.9
1775913014,1449,1,99.9
1775913315,1449,1,99.9
1775913619,1449,1,99.9
1775913920,1449,1,99.9
1775914222,1449,1,99.9
1775914523,1449,1,99.9
1775914825,1449,1,99.9
1775915129,1449,1,99.9
1775915435,1449,1,99.9
1775915738,1449,1,99.9
1775916039,1449,1,99.9
1775916340,1449,1,99.9
1775916641,1449,1,99.9
1775916942,1449,1,99.9
1775917243,1449,1,99.9
1775917545,1449,1,99.9
1775918162,1,5.413200,+5.413200,EVOLVED
1775918350,2,5.413200,+0.000000,STABLE
1775927612,3,5.199500,-0.213700,REGRESSED
1775927642,4,5.199500,+0.000000,STABLE
1775927672,5,5.199500,+0.000000,STABLE
1775927702,6,5.199500,+0.000000,STAGNANT
1775927733,7,5.199500,+0.000000,STABLE
1775927763,8,5.199500,+0.000000,STABLE
1775927793,9,5.199500,+0.000000,STAGNANT
1775927823,10,5.199500,+0.000000,STABLE
1775927853,11,5.199500,+0.000000,STABLE
1775927883,12,5.199500,+0.000000,STAGNANT
1775927913,13,5.199500,+0.000000,STABLE
1775927943,14,5.199500,+0.000000,STABLE
1775927973,15,5.199500,+0.000000,STAGNANT
1775928003,16,5.199500,+0.000000,STABLE
1775928033,17,5.199500,+0.000000,STABLE
1775928063,18,5.199500,+0.000000,STAGNANT
1775928093,19,5.199500,+0.000000,STABLE
1775928123,20,5.199500,+0.000000,STABLE
1775928153,21,5.199500,+0.000000,STAGNANT
1775928183,22,5.199500,+0.000000,STABLE
1775928213,23,5.199500,+0.000000,STABLE
1775928243,24,5.199500,+0.000000,STAGNANT
1775928273,25,5.199500,+0.000000,STABLE
1775928303,26,5.199500,+0.000000,STABLE
1775928333,27,5.199500,+0.000000,STAGNANT
1775928364,28,5.199500,+0.000000,STABLE
1775928394,29,5.199500,+0.000000,STABLE
1775928424,30,5.199500,+0.000000,STAGNANT
1775928454,31,5.199500,+0.000000,STABLE
1775928484,32,5.199500,+0.000000,STABLE
1775928514,33,5.199500,+0.000000,STAGNANT
1775928544,34,5.199500,+0.000000,STABLE
1775928574,35,5.199500,+0.000000,STABLE
1775928604,36,5.199500,+0.000000,STAGNANT
1775928634,37,5.199500,+0.000000,STABLE
1775928664,38,5.199500,+0.000000,STABLE
1775928694,39,5.199500,+0.000000,STAGNANT
1775928724,40,5.199500,+0.000000,STABLE
1775928754,41,5.199500,+0.000000,STABLE
1775928784,42,5.199500,+0.000000,STAGNANT
1775928814,43,5.199500,+0.000000,STABLE
1775928844,44,5.199500,+0.000000,STABLE
1775928874,45,5.199500,+0.000000,STAGNANT
1775928904,46,5.199500,+0.000000,STABLE
1775928934,47,5.199500,+0.000000,STABLE
1775928964,48,5.199500,+0.000000,STAGNANT
1775928994,49,5.199500,+0.000000,STABLE
1775929024,50,5.199500,+0.000000,STABLE
1775929054,51,5.199500,+0.000000,STAGNANT
1775929084,52,5.199500,+0.000000,STABLE
1775929114,53,5.199500,+0.000000,STABLE
1775929144,54,5.199500,+0.000000,STAGNANT
1775929174,55,5.199500,+0.000000,STABLE
1775929204,56,5.199500,+0.000000,STABLE
1775929234,57,5.199500,+0.000000,STAGNANT
1775929264,58,5.199500,+0.000000,STABLE
1775929294,59,5.199500,+0.000000,STABLE
1775929324,60,5.199500,+0.000000,STAGNANT
1775929354,61,5.199500,+0.000000,STABLE
1775929384,62,5.199500,+0.000000,STABLE
1775929415,63,5.199500,+0.000000,STAGNANT
1775929445,64,5.199500,+0.000000,STABLE
1775929475,65,5.199500,+0.000000,STABLE
1775929505,66,5.199500,+0.000000,STAGNANT
1775929535,67,5.199500,+0.000000,STABLE
1775929565,68,5.199500,+0.000000,STABLE
1775929595,69,5.199500,+0.000000,STAGNANT
1775929625,70,5.199500,+0.000000,STABLE
1775929655,71,5.199500,+0.000000,STABLE
1775929685,72,5.199500,+0.000000,STAGNANT
1775929715,73,5.199500,+0.000000,STABLE
1775929745,74,5.199500,+0.000000,STABLE
1775929775,75,5.199500,+0.000000,STAGNANT
1775929805,76,5.199500,+0.000000,STABLE
1775929835,77,5.199500,+0.000000,STABLE
1775929865,78,5.199500,+0.000000,STAGNANT
1775929895,79,5.199500,+0.000000,STABLE
